BRANCH,COUNCIL
CAMP 2 SUNRISE,TESHIE
CAMPUS 1 CENTER,OFAAKOR
CAMPUS 2 CENTER,OFAAKOR
CAMPUS CHANAN,AYEDUASE
CAMPUS FELLOWSHIP - AUA,GEORGETOWN
CANAL NR 2 POLDER,GEORGETOWN
CANAM GOLD CENTRE,AYEDUASE
CANCHUNGO APARCHE,BISSAU
CANNING TOWN,EDMONTON
CANTONMENTS,MAKARIOS HQ
CANTONMENTS CENTER,OYIBI
CAPETOWN KHAYELISTHA,CAPE TOWN
CAPETOWN PARKLANDS,CAPE TOWN
CAPRICE,AYAWASO
CARDIFF,EDMONTON
CASSAVA FARM A2,GREATER LOVE
CASTRIES APARCHE,FIRST LOVE
CATEMBE,MAPUTO
CATFORD,EDMONTON
CATONSVILLE,LOS ANGELES
CENTRAL MONROVIA,QADOSH
CHAGUANAS,GEORGETOWN
CHAISO,KETE-KRACHI
CHAKORI,TAMALE NORTH
CHALAMBE,MAPUTO
CHAMBA,TAMALE
CHANGLI,TAMALE NORTH
CHANGNAYILI,TAMALE NORTH
CHANSHEGU,TAMALE NORTH
CHANTAN PETROLEUM,ABEKA
CHANTILLY,LOS ANGELES
CHAPEL ALLERTON,EDMONTON
CHAPEL SQUARE CENTER,SWEDRU
CHAPEL TOWN,EDMONTON
CHARA CENTER,COTONOU
CHARISMA CENTER,COTONOU
CHARLOTTE,LOS ANGELES
CHARLTON,EDMONTON
CHATTANOOGA,LOS ANGELES
CHECED,COTONOU
CHELTENHAM,LOS ANGELES
CHEREPONI,TAMALE
CHERRY HILL,LOS ANGELES
CHICAGO,LOS ANGELES
CHINDERI,KETE-KRACHI
CHIPADZE,LUSAKA FOXDALE
CHIPATA,LUSAKA FOXDALE
CHIRANDA,KINTAMPO
CHIWARIDZO,LUSAKA FOXDALE
CHOICE G1,GREATER LOVE
CHOKWE,MAPUTO
CHORKOR,KORLE GONNO
CHORKOR CENTER,KORLE GONNO
CHORKOR CHEMU CENTER,KORLE GONNO
CHORKOR CHEMUENAA,KORLE GONNO
CHRISTIAN SERVICE,AYEDUASE
CHRISTIAN VILLAGE ACHIMOTA CCL,ACHIMOTA
CHRISTIAN VILLAGE CENTER,ACHIMOTA
CHRISTIAN VILLAGE TEM COM22 CCL,TEMA COMMUNITY 22
CHUCHULIGA,BOLGATANGA
CINCINNATI,LOS ANGELES
CINDERELLA,PIETERMARITZBURG
CITY CAMPUS CHURCH,FIRST LOVE
CLAPHAM,EDMONTON
CLEVELAND,LOS ANGELES
CLINIC JUNCTION,HOHOE
COCOA MARKET,HOHOE
COCOA VILLA ESTATE,SEKONDI
COLINDALE,EDMONTON
COLLIERS WOOD,EDMONTON
COLORADO SPRINGS,LOS ANGELES
COLUMBIA LAUREL CCL,LOS ANGELES
COLUMBUS,LOS ANGELES
COMMANDOS,OYIBI
COMMUNITY 11,DAWHENYA
COMMUNITY 1B,TEMA
COMMUNITY 2 SSNIT,DAWHENYA
COMMUNITY 22 ANNEX,ASHAIMAN CHAPEL SQUARE
COMMUNITY 25,DAWHENYA
COMMUNITY 2A,DAWHENYA
COMMUNITY 2B,TEMA
COMMUNITY 5 CENTER,TEMA
COMMUNITY 8 CENTER,TEMA
COMMUNITY 9 CENTER,TEMA
COMMUNITY ONE,DAWHENYA
CONAKRY APARCHE,QADOSH
CONAKRY KINDIA,QADOSH
CONGO TOWN,FIRST LOVE
CORNERSTONE CATHEDRAL,TEMA
CORPORATION,MANZINI
COSMO CITY,JOHANNESBURG
COSMO CREEK,JOHANNESBURG
COSWAY AGBOGBA,ADENTA
COTONOU,COTONOU
COTTON FIELD,GEORGETOWN
COVENTRY,EDMONTON
CP MAIN,OFAAKOR
CPUT CAMPUS CHURCH,CAPE TOWN
CPUT CENTRE,CAPE TOWN
CROSLAND MOORS,EDMONTON
CROYDON,EDMONTON
CTAC-JUBA,QADOSH
CUMBANA,MAPUTO
CUTUUM,BISSAU
DAAHO BOSOFOUR,ASOKWA
DABALA,SOGAKOPE
DABALA JUNCTION,SOGAKOPE
DABAN NEWSITE,ASOKWA
DABOASE,SEKONDI
DADIASE ROAD,KPANDO
DADIESO,TARKWA
DADURI,BAWKU
DAFFIAMA,WA
DAGENHAM,EDMONTON
DAGO,WINNEBA
DAKAR,BAKAU
DAKODWOM,ASOKWA
DAKPEMYILI,TAMALE
DALLAS,LOS ANGELES
DAM HEIGHTS,NEW GBAWE
DAMALA,LA BELLE EGLISE
DAMANG,TARKWA
DAMANKO,KETE-KRACHI
DAMBAI,KETE-KRACHI
DAMBAI JUNCTION,KPANDO
DAMONGO,WA
DAMONGO-CANTEEN,WA
DANDENONG,SYDNEY
DANFA,OYIBI
DANFA NO.2,DAWHENYA
DANIEL CENTRE,LAGOS
DANSOMAN,QODESH
DANSOMAN ALIVE PARK,KORLE GONNO
DANSOMAN CENTER,ABEKA
DANSOMAN DATUS,KORLE GONNO
DANSOMAN SAHARA,KORLE GONNO
DAR ES SALAAM,FIRST LOVE
DARKUMAN,KORLE GONNO
DARMANG,NSAWAM
DASSASGHO CENTER,OUAGADOUGOU
DATANO,BIBIANI
DAVE,HO
DAVIEMONDJI,TSEVIE
DAVIEMONDJI-DEME,TSEVIE
DAWA,TEMA
DAWA CENTER,NYANYANOR KAKRABA
DAWADAWA NO 2,KINTAMPO
DAWADAWA NO.1,KINTAMPO
DAWHENYA,DAWHENYA
DAWU,PEDUASE
DAWURAMPONG,WINNEBA
DAYSPRING CENTER,TEMA
DC SCHOOL,NEW GBAWE
DE MOD,QODESH
DEBRECEN,BARCELONA
DEDEIMAN,BEREKUSO
DEDESUA,ATONSU
DEDUAKO,BANTAMA
DEDUAKO TOWN CENTRE,AYEDUASE
DEGEDE,BIBIANI
DELISA ANNEX CENTRE,AYEDUASE
DELISA JOY CENTRE,AYEDUASE
DENHAM TOWN,KINGSTON
DENKYIRA,CAPE COAST
DENKYIRA ASIKUMA,ATONSU
DENSUANO,KOFORIDUA
DENU APARCHE,SOGAKOPE
DENVER,LOS ANGELES
DEPTFORD,EDMONTON
DERBY,EDMONTON
DESIADENYO,HO
DETROIT,LOS ANGELES
DHANORI,PUNE
DIABENE,SEKONDI
DIABENE TAKORADI CCL,TAKORADI
DIASO,ATONSU
DIBOI,TAMALE
DIEPSLOOT,JOHANNESBURG
DISTRICT COUNCIL,WINNEBA
DIVINE GRACE,OYIBI
DIVO,OFAAKOR
DIXCOVE,TAKORADI
DIXINN,QADOSH
DJATSUI,LA
DOBA,BOLGATANGA
DOBLO GONNO,AYAWASO
DOBRO AYEBI-MEGA JOY,AYAWASO
DODI- PAPASE,HOHOE
DODOWA,OYIBI
DOGOKITIWA,KETE-KRACHI
DOHA,NAIROBI
DOLI,WA
DOLISIE,LA BELLE EGLISE
DOME,ACHIMOTA
DOME PILLAR 2,ACHIMOTA
DOMPIM,TARKWA
DONCASTER,EDMONTON
DONKORKROM,KPANDO
DONYINA,BANTAMA
DORADO,MANZINI
DORMAA AHENKRO,BEREKUM
DORMAA KORASO,BEREKUM
DORYUMU,DAWHENYA
DOUALA,FIRST LOVE
DOXA - BEREKUM,BEREKUM
DOXA CENTER,TAMALE
DOXA CENTRE,LAGOS
DRIFTWOOD,LOS ANGELES
DROBO,BEREKUM
DROBO AYEBI-ALLOS CHARISMA,AYAWASO
DROBO AYEBI-STEPS TO THE ANOINTING,AYAWASO
DROBO-AYEBI,AYAWASO
DS-DROBO,BEREKUM
DUAYAW NKWANTA,SUNYANI
DUBAI,NAIROBI
DUBLIN,EDMONTON
DUBREKA,QADOSH
DUMASUA,SUNYANI
DUNAUJVAROS,BARCELONA
DUNDEE,EDMONTON
DUNKWA OFFIN,ATONSU
DUNSTABLE,EDMONTON
DURBAN,PIETERMARITZBURG
DUSSELDORF,EDMONTON
DUT,PIETERMARITZBURG
DUUYIN,TAMALE
DWENEM,BEREKUM
DWENEWOHO KINTAMPO CCL,KINTAMPO
DWESI EXTENSION,CAPE TOWN
DWOMO,SEKONDI
DZELUKORPE,SOGAKOPE
DZEN AYOR,MAKARIOS HQ
DZIEGBE,KPANDO
DZOANTI,KPANDO
DZODZE,SOGAKOPE
DZOGADZE,HO
DZOLO,HO
DZORWULU,MAKARIOS HQ
EALING,EDMONTON
EAST AIRPORT,MAKARIOS HQ
EAST COLUMBUS,LOS ANGELES
EAST CROYDON,EDMONTON
EAST HAM,EDMONTON
EAST LEGON HILLS,MAKARIOS HQ
EAST LONDON,CAPE TOWN
EASTLEIGH,JOHANNESBURG
EASTWOOD,PIETERMARITZBURG
EBENEZER DOWN,KORLE GONNO
EBONLOA,TAKORADI
EDEA,FIRST LOVE
EDINBURGH,EDMONTON
EDMONTON,LOS ANGELES
EDMONTON UK,EDMONTON
EDOBO,SEKONDI
EDUARDO MONDLANE UNIVERSITY CAMPUS,MAPUTO
EFFIDUASE EJURA CCL,AYAWASO2
EFFIDUASI,BANTAMA
EGKRATIA CENTER,COTONOU
EIRENE CENTER,COTONOU
EJISU,BANTAMA
EJISU KRAPA,BANTAMA
EJURA AFRAMSO,EJURA
EJURA AHYIAYEM,EJURA
EJURA BRIGADE,EJURA
EJURA BROADCASTING,EJURA
EJURA HIAWOANWU,EJURA
EJURA KASEI,EJURA
EJURA MAIN,EJURA
EJURA NKWANTA,EJURA
EJURA SEKYEDUMASI,EJURA
EKPEAME,SOGAKOPE
EKPU,SEKONDI
EKUMFI AKRA,CAPE COAST
EKUMFI ESUEHYIA,CAPE COAST
EKUMFI NARKWA,CAPE COAST
EKUMFI- OTUAM,CAPE COAST
ELDORET,MOMBASA
ELIZABETH,LOS ANGELES
ELIZABETH BRANCH,SYDNEY
ELLA DU PLESSIS,MANZINI
ELLICOTT CITY,LOS ANGELES
ELMINA APARCHE,CAPE COAST
ELMINA BANTUMA,CAPE COAST
ELMINA DC,CAPE COAST
ELMINA PERSHIE,CAPE COAST
ELUBO,SEKONDI
EMBAKASI,NAIROBI
EMBALENHLE,JOHANNESBURG
EMEFS CENTER,HEALING JESUS CATHEDRAL
EMMANUEL CENTRE,LAGOS
EMMAUSE 2,LA
EMPANTCHA,BISSAU
ENCHI,TARKWA
ENFIELD,EDMONTON
ENGLISH RIVER,FIRST LOVE
ENGRESI,AYAWASO2
ENTEBBE,NAIROBI
ENTERAMENTO,BISSAU
ENTUMBIL,CAPE COAST
ENYAN DENKYIRA,CAPE COAST
ENYANMAIM,CAPE COAST
EP AGBOGBA,ADENTA
EPHESIANS CENTRE,LAGOS
ESERESO,ATONSU
ESIAMA,TAKORADI
ESIKADO PALMLANDS,SEKONDI
ESQUIPULAS,LOS ANGELES
ESSAMAN KAKRABA,TARKWA
ESSEN,EDMONTON
ESSEX,LOS ANGELES
ESSUEKYIR,WINNEBA
ESTATE,TECHIMAN
ETOBICOKE,LOS ANGELES
EUROPEAN TOWN,SEKONDI
EVRY,BARCELONA
EWUSIEJOE,TAKORADI
EXHIBITION,KORLE GONNO
EYIPEY,WINNEBA
FADJIKUNDA,BAKAU
FAN MILK,AWOSHIE
FANKYENEBRA,BANTAMA
FANTE NYANKUMASI,ASSIN FOSU
FARGO,LOS ANGELES
FASIN,TAKORADI
FAWOADE,BANTAMA
FENANDOPO,KORLE GONNO
FENDALL,FIRST LOVE
FERROVIARIO,MAPUTO
FESI,KPANDO
FIAPRE-SUNYANI,SUNYANI
FIEVIE,SOGAKOPE
FIIFI,NYANYANOR KAKRABA
FIJAI,TAKORADI
FIRE SERVICE,HOHOE
FIRENZE,BARCELONA
FIRST GATE,MANDELA
FIRST LIGHT,KORLE GONNO
FIRST LOVE - UNIVERSITY OF WOLVERHAMPTON,FIRST LOVE
FIRST LOVE BELIZE CITY,FIRST LOVE
FIRST LOVE CENTER,FIRST LOVE
FIRST LOVE CHURCH MONROVIA,FIRST LOVE
FIRST LOVE CHURCH UNIMAK,FIRST LOVE
FIRST LOVE CHURCH WOODLANDS,FIRST LOVE
FIRST LOVE KAKAMEGA,FIRST LOVE
FIRST LOVE LUANAR,FIRST LOVE
FIRST LOVE NAIROBI,FIRST LOVE
FIRST LOVE ROSEAU,FIRST LOVE
FIRST LOVE UKZN,PIETERMARITZBURG
FIRST LOVE UNILAG CAMPUS,FIRST LOVE
FIRSTLOVE CHURCH,FIRST LOVE
FIRSTLOVE PRAYER SERVICE,FIRST LOVE
FIRTH PARK,EDMONTON
FISE,AYAWASO
FISHERMEAD,EDMONTON
FLC ACHIMOTA CENTER,FIRST LOVE
FLC ALBANY,FIRST LOVE
FLC A-P APARCHE,FIRST LOVE
FLC ASHESI UNIVERSITY,FIRST LOVE
FLC ATLANTA,FIRST LOVE
FLC AUC,FIRST LOVE
FLC BAY AREA,FIRST LOVE
FLC BOSTON,FIRST LOVE
FLC BUDUMBURAM CENTRE,FIRST LOVE
FLC CENTRAL MIOTSO APARCHE,FIRST LOVE
FLC CHICAGO,FIRST LOVE
FLC C-MAT APARCHE,FIRST LOVE
FLC COLUMBUS,FIRST LOVE
FLC DALLAS,FIRST LOVE
FLC EVANSVILLE,FIRST LOVE
FLC FIRSTLOVE CHURCH-MAMPONG,FIRST LOVE
FLC GETTYSBURG,FIRST LOVE
FLC GRAND RAPIDS,FIRST LOVE
FLC GREENSBORO,FIRST LOVE
FLC HANOVER,FIRST LOVE
FLC HONOLULU,FIRST LOVE
FLC HOUSTON,FIRST LOVE
FLC JAYEE UNIVERSITY APARCHE,FIRST LOVE
FLC KASOA CENTRE,FIRST LOVE
FLC KB APARCHE-B,FIRST LOVE
FLC LAPAZ CENTRE,FIRST LOVE
FLC LAS VEGAS,FIRST LOVE
FLC LEE,FIRST LOVE
FLC LEGON CENTER,FIRST LOVE
FLC LETHBRIDGE,FIRST LOVE
FLC LOS ANGELES,FIRST LOVE
FLC MASS CENTRAL,FIRST LOVE
FLC MELBOURNE,FIRST LOVE
FLC MEMPHIS,FIRST LOVE
FLC MIAMI,FIRST LOVE
FLC MURFREESBORO,FIRST LOVE
FLC NARH BITA COLLEGE,FIRST LOVE
FLC NEW HAVEN,FIRST LOVE
FLC NEW YORK,FIRST LOVE
FLC NEWARK,FIRST LOVE
FLC NORTH LEGON CENTER,FIRST LOVE
FLC NYC CENTER,FIRST LOVE
FLC OAKLAND,FIRST LOVE
FLC ORLANDO,FIRST LOVE
FLC OYIBI CENTER,FIRST LOVE
FLC PENT CITY CENTER,FIRST LOVE
FLC PENTECOST UNIV APARCHE,FIRST LOVE
FLC PITTSBURGH,FIRST LOVE
FLC RENO,FIRST LOVE
FLC RICHMOND,FIRST LOVE
FLC ROLLA,FIRST LOVE
FLC SAN JUAN,FIRST LOVE
FLC SCARBOROUGH,FIRST LOVE
FLC TF CENTER,FIRST LOVE
FLC TOLEDO,FIRST LOVE
FLC TORONTO,FIRST LOVE
FLC TOWN CHURCH,FIRST LOVE
FLC UPS,FIRST LOVE
FLC URBANA,FIRST LOVE
FLC WASHINGTON DC,FIRST LOVE
FLC WISCONSIN UNIVERSITY,FIRST LOVE
FLC ZENITH CENTER,FIRST LOVE
FLH AMANFROM SHS,FIRST LOVE
FLH AWUDOME ESTATES,FIRST LOVE
FLH DANSOMAN ASDH,FIRST LOVE
FLH DANSOMAN LS,FIRST LOVE
FLH DANSOMAN SSNIT,FIRST LOVE
FLH DARKUMAN ALAFIA,FIRST LOVE
FLH HAATSO STATION,FIRST LOVE
FLH KANESHIE ASOREDOHO,FIRST LOVE
FLH KASOA FIIFI DOWN,FIRST LOVE
FLH KWABENYA,FIRST LOVE
FLH LAPAZ TEMA STATION,FIRST LOVE
FLH MAMPONG,FIRST LOVE
FLH MAMPONG PRESBY,FIRST LOVE
FLH NORTH K FADAMA,FIRST LOVE
FLH NYAMEKYE JUNCTION,FIRST LOVE
FLH SCC UCOMS,FIRST LOVE
FLH SPINTEX ESTATE JUNCTION,FIRST LOVE
FLH TABORA JUNCTION,FIRST LOVE
FLH TAIFA,FIRST LOVE
FLH TEMA COM 34,FIRST LOVE
FLH TEMA NEWTOWN,FIRST LOVE
FLH TESHIE,FIRST LOVE
FLH TESHIE TSUIBLEO,FIRST LOVE
FLTC PRESTIGE HOSTEL,FIRST LOVE
FLTC UPSA HOSTEL 4,FIRST LOVE
FOCOS HOSPITAL,ADENTA
FOMENA,OBUASI
FOMESUA,BANTAMA
FOREST GATE,EDMONTON
FOREST HILL,CAPE TOWN
FORIFORI,KPANDO
FORT WORTH,LOS ANGELES
FORTUNE CITY,MANDELA
FOSTER APOSTOLIC,ADENTA
FOSTER DOWN,ADENTA
FOSTER HOME FTA,ADENTA
FOSTER JUNCTION,ADENTA
FOSU KROM,ASSIN FOSU
FOSU STATION,ASSIN FOSU
FOTOBI,NSAWAM
FRAFRAHA,OYIBI
FRANCE,PIETERMARITZBURG
FRANCEVILLE,LA BELLE EGLISE
FRANCISTOWN,FIRST LOVE
FRANKFURT,EDMONTON
FRIBOURG,BARCELONA
FULANI,OYIBI
FUMBISI,BOLGATANGA
GABI,KPANDO
GABORONE,FIRST LOVE
GAITHERSBURG,LOS ANGELES
GAKLI,SOGAKOPE
GALILEA,NYANYANOR KAKRABA
GALILEA CENTER,NYANYANOR KAKRABA
GALILEA D25,GREATER LOVE
GAMBAGA,TAMALE NORTH
GAMBIBGO,BOLGATANGA
GANTA,QADOSH
GA-RANKUWA,PRETORIA
GARDEN CITY CENTRE,AYEDUASE
GARINKUKA,TAMALE
GARU,BAWKU
GBALLA,TAMALE NORTH
GBANDI,TAMALE
GBANGU,TAMALE NORTH
GBARNGA,QADOSH
GBAWE,MAKARIOS HQ
GBAWE BANK QUARTERS,NEW GBAWE
GBAWE TOP BASE,NEW GBAWE
GBEFI,KPANDO
GBETSILE,TEMA COMMUNITY 22
GBETSILE US,TEMA COMMUNITY 22
GBI-BLA CENTER,HOHOE
GBI-KPEME,HOHOE
GBIMSI,TAMALE NORTH
GBINTIRI,TAMALE NORTH
GBOXOME-HOHOE,HOHOE
GBUGBLA - DIAMOND CEMENT,SOGAKOPE
GEELONG,SYDNEY
GENEVA,BARCELONA
GEORGETOWN,GEORGETOWN
GERMANTOWN,LOS ANGELES
GERMISTON,JOHANNESBURG
GETHSEMANE,CAPE COAST
GEUCKEDOU,QADOSH
GEZINA,PRETORIA
GHANA FLAG ADENTA CCL,OYIBI
GHANA KPEDZI,SOGAKOPE
GILLY'S HAVEN,HEALING JESUS CATHEDRAL
GLASGOW,EDMONTON
GLEFE CENTER,KORLE GONNO
GLEI,KPALIME
GLEN VIEW,LUSAKA FOXDALE
GLENDALE,LUSAKA FOXDALE
GOASO,SUNYANI
GOBA ROAD,SOGAKOPE
GOBABIS,MANZINI
GOD KNOWS,NYANYANOR KAKRABA
GOD'S POWER CENTER,ACHIMOTA
GOLDEN GATE A39,GREATER LOVE
GOLDEN VALLEY A3,GREATER LOVE
GOLDFIELDS,HOHOE
GOLF ESTATE,TEMA COMMUNITY 22
GOMOA BENSO,SWEDRU
GOMOA BROFOYEDUR,SWEDRU
GOMOA NYANYANO,NYANYANOR KAKRABA
GOMOA-AFRANSI,SWEDRU
GONNO SCHOOL,TESHIE
GONZAQUE,OFAAKOR
GOROKA,SYDNEY
GOSHEN,TEMA COMMUNITY 22
GOVAN MBEKI,CAPE TOWN
GP KPOTA,SOGAKOPE
GRACE AVENUE OGOO FARM,QADOSH
GRANDJA CENTRE,BISSAU
GRANVILLE APARCHE,SYDNEY
GRASAG CENTRE,AYEDUASE
GRAY'S FARM,GEORGETOWN
GREAT EAST,LUSAKA FOXDALE
GREAT NORTH,LUSAKA FOXDALE
GREATER LOVE CATHEDRAL,GREATER LOVE
GREEN COMPOUND,TARKWA
GREEN ESTATE,NYANYANOR KAKRABA
GREENFORD,EDMONTON
GREENSBORO,LOS ANGELES
GROS ISLET,FIRST LOVE
GRUMA WEST,KINTAMPO
GRUMESAH,TARKWA
GUANGZOU,FIRST LOVE
GULUMPE,KINTAMPO
GUMANI,TAMALE NORTH
GUMYOKO,BAWKU
GUONIA,BOLGATANGA
GURUGU,TAMALE
GURUGU CENTER A,TAMALE
GURUGU CENTER B,TAMALE
GURUGU CENTER C,TAMALE
GURUGU CENTER D,TAMALE
GURUGU CENTER E,TAMALE
GURUGU CENTER F,TAMALE
GUSHEGU,TAMALE
GWERU,LUSAKA FOXDALE
GWIRA BANSO,TAKORADI
GWYNNEVILLE,SYDNEY
GYABENKROM,TAKORADI
GYANGYANADZE,WINNEBA
GYEDIEM,SUNYANI
GYENGYEN,KETE-KRACHI
HAATSO GREENHIL,OYIBI
HACKNEY,EDMONTON
HAFIA,BISSAU
HAGERSTOWN,LOS ANGELES
HALF ASSINI,SEKONDI
HAMANSKRAAL,PRETORIA
HAMBURG,EDMONTON
HAMDALLAYE ACI 2000,BAMAKO
HAMILTON LAUREL CCL,LOS ANGELES
HANNOVER,EDMONTON
HANOVER,LOS ANGELES
HANSONIC,QODESH
HARBEL,QADOSH
HARLESDEN,EDMONTON
HARROW,EDMONTON
HARTFORD,LOS ANGELES
HATFIELD,EDMONTON
HATSUKORPE,SOGAKOPE
HAVE,KPANDO
HAWASSA,JOHANNESBURG
HEADINGLEY,EDMONTON
HEALING JESUS CATHEDRAL,HEALING JESUS CATHEDRAL
HEALTH ASSISTANT TRAINING SCHOOL,ASSIN FOSU
HEBRON,PRETORIA
HEDZRANAWO,SOGAKOPE
HEMANG,ATONSU
HIGH WYCOMBE,EDMONTON
HIGHFIELD,LUSAKA FOXDALE
HILLTOP,TAMALE NORTH
HIMAN,TARKWA
HIMAN DA,TARKWA
HO,HO
HOBOR,AYAWASO
HO-DOME,HO
HOHOE,HOHOE
HOHOE - ABANSI,HOHOE
HOHOE-CMB,HOHOE
HOHOLA,SYDNEY
HONGKONG KWASHIEMAN,SANTA MARIA
HONIARA,SYDNEY
HOSPITAL CENTRE A,HOHOE
HOSPITAL CENTRE B,HOHOE
HOTEL BUCHANAN,QADOSH
HOTOPO,TAKORADI
HOUNSLOW,EDMONTON
HOUSTON COPPERFIELD,LOS ANGELES
HOUSTON NORTH,LOS ANGELES
HOUSTON SOUTH,LOS ANGELES
HOUSTON SOUTHWEST,LOS ANGELES
HUDDERSFIELD,EDMONTON
HUDDERSFIELD CITY CENTER,EDMONTON
HULENE B-IPASOL,MAPUTO
HULENE B-RUA 02,MAPUTO
HULL,EDMONTON
HUMBER,LOS ANGELES
HUNI VALLEY,TARKWA
HWIDIEM,SUNYANI
HYDERABAD,PUNE
IBADAN,LAGOS
ILFORD,EDMONTON
ILITHA PARK,CAPE TOWN
IMBALI,PIETERMARITZBURG
INCHABAN,SEKONDI
INDEPENDENCE HALL CENTRE,AYEDUASE
INDIANAPOLIS,LOS ANGELES
INHAGOIA A,MAPUTO
INHAMBANE,MAPUTO
INHARRIME,MAPUTO
INSAKINA,TESHIE
IPT DENKYEMUOSO,BANTAMA
IRON CITY,OFAAKOR
ISRAEL YELLOW HOUSE,ABEKA
ISRAERL,ABEKA
ISTANBUL,BARCELONA
ITUMA,SEKONDI
IWULINDO,TAMALE NORTH
JABAQUARA,SAO PAULO
JACHIE,ATONSU
JACKSONVILLE,LOS ANGELES
JACOBU,OBUASI
JAKPOKPONDO,TAMALE NORTH
JAMA NKWANTA,TAMALE NORTH
JAMASE,AYAWASO2
JAMBELA MAGXAKI,CAPE TOWN
JAMES TOWN,AYAWASO2
JAMRA,CAPE COAST
JANCHUGU,TAMALE NORTH
JANFOYA,TAMALE
JANGAMO,MAPUTO
JANKUN,TAMALE
JANTONG,TAMALE
JAPA,TARKWA
JASIKAN,HOHOE
JATO AKURA,KINTAMPO
JEHOVAH,NYANYANOR KAKRABA
JEMA,KINTAMPO
JEMA NKWANTA,KINTAMPO
JENFELD,EDMONTON
JERUSALEM,TARKWA
JESMOND,SYDNEY
JINJA,NAIROBI
JIRAPA,WA
JOE SLOVO,CAPE TOWN
JOHANNESBURG CAMPUS CHURCH,FIRST LOVE
JOHN CENTER,LAGOS
JOHN CENTRE,KORLE GONNO
JOHN TEYE,AYAWASO
JOHNSTON,GEORGETOWN
JORDAN,LA
JOSEPH CENTRE,LAGOS
JOSINA MACHEL INHAMBANE,MAPUTO
JUABEN,BANTAMA
JUANSA,AYAWASO2
JUAPONG,HO
JUASO,AYAWASO2
JUI,FIRST LOVE
JUMAPO,KOFORIDUA
K LINE,KINTAMPO
KAADI,BAWKU
KAAFIHIYILLI,TAMALE NORTH
KAASE,ASOKWA
KABEKURA 1,KPANDO
KABETE,MOMBASA
KABITI,KETE-KRACHI
KABRIYA,TAMALE NORTH
KABWE,LUSAKA FOXDALE
KADE,AYAWASO2
KADE ADOMPO,AYAWASO2
KADE STADIUM,AYAWASO2
KADELSO,KINTAMPO
KADJEBI,HOHOE
KAGBURASHEI,TAMALE
KAINOS CENTER,COTONOU
KAJABIL,TAKORADI
KAKASUNANKA NO 1,TEMA COMMUNITY 22
KAKASUNANKA NO 2,DAWHENYA
KAKATA,QADOSH
KAKRABA DOWN,NYANYANOR KAKRABA
KAKRABA NEW TOWN,NYANYANOR KAKRABA
KALABAN CORO PLATEAU,BAMAKO
KALABULEY,NYANYANOR KAKRABA
KALEO,WA
KALFONTEIN,JOHANNESBURG
KAMBOINSIN,OUAGADOUGOU
KAMBOINSIN CENTER,OUAGADOUGOU
KAMBONAYILI,TAMALE
KAMPALA APARCHE,NAIROBI
KAMSONGHIN CENTER,OUAGADOUGOU
KANANDO,TAMALE
KANAWU SUNCITY,TEMA COMMUNITY 22
KANDA,ACHIMOTA
KANDA MKC,MAKARIOS HQ
KANDIN,TAMALE
KANESHIE CENTER,KORLE GONNO
KANEWU,LA
KANJO,TAMALE NORTH
KANSAS CITY,LOS ANGELES
KANSAWOROWDO,TAKORADI
KARAGA,TAMALE
KARIBIB,MANZINI
KARIS CENTER,ACHIMOTA
KARLO,TARKWA
KARPALA,OUAGADOUGOU
KAS VALLEY,OYIBI
KASARANI,MOMBASA
KASAWURAPE,TAMALE NORTH
KASOA ASEMPA DOWN,OFAAKOR
KASOA OTAMENS D12,GREATER LOVE
KASOA TIPPER E4,GREATER LOVE
KASOACENTRAL D3,GREATER LOVE
KASSEL,EDMONTON
KATAMANSO,TEMA COMMUNITY 22
KATAMANSO NO.2,TEMA COMMUNITY 22
KATANGA,TAMALE NORTH
KATI,BAMAKO
KATIEJELI,TAMALE NORTH
KATIMA MULILO,MANZINI
KATO-BEREKUM,BEREKUM
KATR YAAR CENTER,OUAGADOUGOU
KAWAMBWA,LUSAKA FOXDALE
KAWAMPE,KINTAMPO
KAYERESO,TAMALE NORTH
KAYES,BAMAKO
KB NMTC HOUSE 17,FIRST LOVE
KEELE,LOS ANGELES
KEEPFIT DOWN,QODESH
KEKANA GARDENS,PRETORIA
KENEMA,FIRST LOVE
KENT CITY,ASOKWA
KENTINKRONO,BANTAMA
KERICHO,MOMBASA
KERR JATT,BAKAU
KESSIM,CAPE COAST
KETA MAIN,SOGAKOPE
KETAN,SEKONDI
KETE-KRACHI,KETE-KRACHI
KETTERING,EDMONTON
KG CATHEDRAL CENTER,KORLE GONNO
KG ROBERTS CHAPEL,KORLE GONNO
KHAYELITSHA KUYASA,CAPE TOWN
KHAYELITSHA MAKHAYA,CAPE TOWN
KHONGOLOTE,MAPUTO
KIBI,AYAWASO2
KIBI ADUKROM,AYAWASO2
KIEL,EDMONTON
KIGALI KIMIRONKO,NAIROBI
KIJOMANG,TAMALE
KIKAM,TAKORADI
KILIMANJARO HOHOE CCL,KPANDO
KIMBERLEY,MASERU
KIMOATEEK,TAMALE
KING WILLIAMSTOWN,CAPE TOWN
KINGS ACADEMY,LA
KINGSTANDING,EDMONTON
KINGSTOWN,GEORGETOWN
KINGS-WAY,TESHIE
KINSHASA APARCHE,FIRST LOVE
KINSHASA KINKOLE,FIRST LOVE
KINSHASA UPN,FIRST LOVE
KISUMU,MOMBASA
